,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119210746_2782596728639180_4278030625023691193_n.png?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=dHnuuLQ4PM0AX-lTydN&_nc_ht=scontent-atl3-1.xx&oh=97046977974b70070f4e3f34ae7bcfa5&oe=5F82EF86,20.0,,2782599928638860,,https://facebook.com/story.php?story_fbid=2782599928638860&id=1438083136423886,,0.0,,2020-09-11 18:08:18,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119140765_2781456808753172_392683567752106783_n.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=NhOVAqxyWBcAX-NNLVd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6b39b379fc17f4455a6ad4cdd0fc7445&oe=5F83BB57,8.0,,2779801698918683,"Massachusetts Governor Charlie Baker, in accordance with United States Public Law 107-89, has ordered that the United States of America flag and the Commonwealth of Massachusetts flag be lowered to half-staff at all state buildings on Friday, September 11, 2020 in observance of Patriot Day, “in honor of the individuals who lost their lives on September 11, 2001 and the Americans who made the ultimate sacrifice in the wars that followed.” The United States of America flag and the Commonwealth of Massachusetts flag shall be flown at half-staff from sunrise until sunset.",https://facebook.com/story.php?story_fbid=2779801698918683&id=1438083136423886,,0.0,"Massachusetts Governor Charlie Baker, in accordance with United States Public Law 107-89, has ordered that the United States of America flag and the Commonwealth of Massachusetts flag be lowered to half-staff at all state buildings on Friday, September 11, 2020 in observance of Patriot Day, “in honor of the individuals who lost their lives on September 11, 2001 and the Americans who made the ultimate sacrifice in the wars that followed.” The United States of America flag and the Commonwealth of Massachusetts flag shall be flown at half-staff from sunrise until sunset.",2020-09-11 08:46:33,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118924231_2779802505585269_7528345748311692600_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=jAXEx0YkKCMAX_7lbWu&_nc_ht=scontent-atl3-1.xx&tp=14&oh=60925b70e5bc89c494f43c88aab7a612&oe=5F82CE1E,14.0,,2779802602251926,"Massachusetts Governor Charles D. Baker has ordered that the United States of America flag and the Commonwealth of Massachusetts flag be lowered to half-staff at all state buildings on Friday, September 11, 2020, the day of interment, as a mark of solemn respect for Massachusetts State Trooper Thomas W. Devlin, who passed on September 3, 2020 as a result of injuries received in the line of duty on July 26, 2018.

This order shall be observed concurrent with the existing Commonwealth of Massachusetts half-staff notification issued in honor of Patriot Day, September 11, 2020. The United States of America flag and the Commonwealth of Massachusetts flag shall be flown at half-staff from sunrise until sunset on this day.",https://facebook.com/story.php?story_fbid=2779802602251926&id=1438083136423886,,0.0,"Massachusetts Governor Charles D. Baker has ordered that the United States of America flag and the Commonwealth of Massachusetts flag be lowered to half-staff at all state buildings on Friday, September 11, 2020, the day of interment, as a mark of solemn respect for Massachusetts State Trooper Thomas W. Devlin, who passed on September 3, 2020 as a result of injuries received in the line of duty on July 26, 2018.

This order shall be observed concurrent with the existing Commonwealth of Massachusetts half-staff notification issued in honor of Patriot Day, September 11, 2020. The United States of America flag and the Commonwealth of Massachusetts flag shall be flown at half-staff from sunrise until sunset on this day.",2020-09-11 06:30:01,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119064208_2585467065025221_3867822991375445353_n.png?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=rInCpg5mgSAAX8b6CJp&_nc_ht=scontent-atl3-1.xx&oh=e26efa9a2e66c61297db82ff2a2eb483&oe=5F835EF7,1.0,https://zcu.io/ReRH,2781458742086312,,https://facebook.com/story.php?story_fbid=2781458742086312&id=1438083136423886,"Barnstable County Department of Health and Environment
September 10 at 9:41 AM ·

We are about to enter into flu season. #BarnstableCounty is hosting a Drive-Thru Flu Shot Event on September 26, 2020 | 8:00 AM to 12:00 PM | No appointment is necessary. Available to everyone in Barnstable County ages 6 month +
#WorkingForYou You must fill out a form at
https://zcu.io/ReRH",2.0,"Barnstable County Department of Health and Environment
September 10 at 9:41 AM ·

We are about to enter into flu season. #BarnstableCounty is hosting a Drive-Thru Flu Shot Event on September 26, 2020 | 8:00 AM to 12:00 PM | No appointment is necessary. Available to everyone in Barnstable County ages 6 month +
#WorkingForYou You must fill out a form at
https://zcu.io/ReRH",2020-09-10 11:51:32,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119069429_2779489768949876_8814363709102963137_n.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=vV-iUAW3gacAX_GlfYg&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7f2fe2e7018f846f4f7cb3f4173c9fa7&oe=5F845735,6.0,,2779489908949862,"Governor Charlie Baker has ordered that the United States of America flag and the Commonwealth of Massachusetts flag be lowered to half-staff from sunrise until sunset at all state buildings on Wednesday, September 9, 2020, the day of interment, in honor of U.S. Navy Petty Officer Jake Williams of Plymouth, Massachusetts.

Petty Officer Williams will be laid to rest at the Woodlawn Cemetery in Everett, Massachusetts.",https://facebook.com/story.php?story_fbid=2779489908949862&id=1438083136423886,,0.0,"Governor Charlie Baker has ordered that the United States of America flag and the Commonwealth of Massachusetts flag be lowered to half-staff from sunrise until sunset at all state buildings on Wednesday, September 9, 2020, the day of interment, in honor of U.S. Navy Petty Officer Jake Williams of Plymouth, Massachusetts.

Petty Officer Williams will be laid to rest at the Woodlawn Cemetery in Everett, Massachusetts.",2020-09-09 06:30:02,,
5,1.0,,39.0,https://youtu.be/M56I_-EIZfU,2779804798918373,,https://facebook.com/story.php?story_fbid=2779804798918373&id=1438083136423886,,3.0,,2020-09-08 17:00:02,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118568542_2775118079387045_2723401281766036757_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=NODrcLgNqTsAX_CqcmD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=007c3a6c4da34f1e13e6c94d0149f2ab&oe=5F81C01A,8.0,,2775118369387016,"Massachusetts Governor Charlie Baker has ordered that the United States of America flag and the Commonwealth of Massachusetts flag be lowered to half-staff from sunrise until sunset at all state buildings on Saturday, September 5, 2020, the day of interment, in honor of U.S. Army Sergeant Elder Fernandes, 1st Cavalry Division, Fort Hood, Texas, a native of Brockton, Massachusetts, who passed this past August.

Sergeant Fernandes will be laid to rest at the Melrose Cemetery in Brockton, Massachusetts.",https://facebook.com/story.php?story_fbid=2775118369387016&id=1438083136423886,,0.0,"Massachusetts Governor Charlie Baker has ordered that the United States of America flag and the Commonwealth of Massachusetts flag be lowered to half-staff from sunrise until sunset at all state buildings on Saturday, September 5, 2020, the day of interment, in honor of U.S. Army Sergeant Elder Fernandes, 1st Cavalry Division, Fort Hood, Texas, a native of Brockton, Massachusetts, who passed this past August.

Sergeant Fernandes will be laid to rest at the Melrose Cemetery in Brockton, Massachusetts.",2020-09-05 06:30:00,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118787747_2775797005985819_1287864001255385807_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=aHSKserRBusAX9ZGE0J&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d312a4b59ceee1292a9a7a0ac328318c&oe=5F84CACA,7.0,https://www.falmouth.k12.ma.us/domain/730,2775797062652480,September Food Distribution Calendar Update https://www.falmouth.k12.ma.us/domain/730,https://facebook.com/story.php?story_fbid=2775797062652480&id=1438083136423886,,0.0,September Food Distribution Calendar Update https://www.falmouth.k12.ma.us/domain/730,2020-09-04 10:50:33,,
8,0.0,,12.0,,2775786359320217,"Governor Charlie Baker has ordered that the United States of America flag and the Commonwealth of Massachusetts flag be lowered to half-staff from sunrise until sunset at all state buildings on Friday, September 4, 2020, in coordination with funeral services and in honor of SGT Brandon Wieland, of Holliston, MA, who passed on August 24, 2020.",https://facebook.com/story.php?story_fbid=2775785782653608&id=1438083136423886,,0.0,"Governor Charlie Baker has ordered that the United States of America flag and the Commonwealth of Massachusetts flag be lowered to half-staff from sunrise until sunset at all state buildings on Friday, September 4, 2020, in coordination with funeral services and in honor of SGT Brandon Wieland, of Holliston, MA, who passed on August 24, 2020.",2020-09-04 10:35:00,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118762350_2775146719384181_3311251824273970468_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=EzNMQeryo8QAX-Y8_Yd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=82fae72fc2f38d90f7a34343a107f37c&oe=5F83E796,15.0,,2775150462717140,,https://facebook.com/story.php?story_fbid=2775150462717140&id=1438083136423886,,0.0,,2020-09-03 18:15:10,,
